,Date,Vs,Opponent
1,"Wed, Oct 09",vs,Calgary
2,"Fri, Oct 11",vs,Philadelphia
3,"Tue, Oct 15",@,Tampa Bay
4,"Thu, Oct 17",@,Florida
5,"Sat, Oct 19",@,Philadelphia
6,"Tue, Oct 22",@,Chicago
7,"Sat, Oct 26",vs,Pittsburgh
8,"Mon, Oct 28",vs,Carolina
9,"Wed, Oct 30",vs,New Jersey
10,"Sat, Nov 02",@,San Jose
11,"Tue, Nov 05",@,Anaheim
12,"Thu, Nov 07",@,Los Angeles
13,"Sat, Nov 09",vs,Edmonton
14,"Tue, Nov 12",vs,Calgary
15,"Thu, Nov 14",vs,New York Islanders
16,"Sat, Nov 16",vs,Chicago
17,"Sun, Nov 17",vs,Nashville
18,"Tue, Nov 19",vs,New York Rangers
19,"Sat, Nov 23",@,Ottawa
20,"Tue, Nov 26",@,Boston
21,"Wed, Nov 27",@,Pittsburgh
22,"Fri, Nov 29",@,Buffalo
23,"Sun, Dec 01",@,Detroit
24,"Tue, Dec 03",@,Minnesota
25,"Fri, Dec 06",vs,Columbus
26,"Sun, Dec 08",vs,Tampa Bay
27,"Tue, Dec 10",vs,St. Louis
28,"Thu, Dec 12",vs,Florida
29,"Sat, Dec 14",vs,Boston
30,"Mon, Dec 16",vs,Colorado
31,"Wed, Dec 18",@,Arizona
32,"Thu, Dec 19",@,Vegas
33,"Sat, Dec 21",vs,Ottawa
34,"Mon, Dec 23",vs,San Jose
35,"Sat, Dec 28",vs,Seattle
36,"Tue, Dec 31",@,Calgary
37,"Thu, Jan 02",@,Seattle
38,"Fri, Jan 03",vs,Nashville
39,"Mon, Jan 06",@,Montreal
40,"Wed, Jan 08",@,Washington
41,"Fri, Jan 10",@,Carolina
42,"Sat, Jan 11",@,Toronto
43,"Tue, Jan 14",@,Winnipeg
44,"Thu, Jan 16",vs,Los Angeles
45,"Sat, Jan 18",vs,Edmonton
46,"Tue, Jan 21",vs,Buffalo
47,"Thu, Jan 23",@,Edmonton
48,"Sat, Jan 25",vs,Washington
49,"Mon, Jan 27",@,St. Louis
50,"Wed, Jan 29",@,Nashville
51,"Fri, Jan 31",@,Dallas
52,"Sun, Feb 02",vs,Detroit
53,"Tue, Feb 04",vs,Colorado
54,"Thu, Feb 06",@,San Jose
55,"Sat, Feb 08",vs,Toronto
56,"Sat, Feb 22",@,Vegas
57,"Sun, Feb 23",@,Arizona
58,"Wed, Feb 26",@,Los Angeles
59,"Thu, Feb 27",@,Anaheim
60,"Sat, Mar 01",@,Seattle
61,"Wed, Mar 05",vs,Anaheim
62,"Fri, Mar 07",vs,Minnesota
63,"Sun, Mar 09",vs,Dallas
64,"Tue, Mar 11",vs,Montreal
65,"Wed, Mar 12",@,Calgary
66,"Sat, Mar 15",vs,Chicago
67,"Sun, Mar 16",vs,Arizona
68,"Tue, Mar 18",vs,Winnipeg
69,"Thu, Mar 20",@,St. Louis
70,"Sat, Mar 22",@,New York Rangers
71,"Mon, Mar 24",@,New Jersey
72,"Wed, Mar 26",@,New York Islanders
73,"Fri, Mar 28",@,Columbus
74,"Sun, Mar 30",@,Winnipeg
75,"Wed, Apr 02",vs,Seattle
76,"Sat, Apr 05",vs,Anaheim
77,"Sun, Apr 06",vs,Vegas
78,"Tue, Apr 08",@,Dallas
79,"Thu, Apr 10",@,Colorado
80,"Sat, Apr 12",vs,Minnesota
81,"Mon, Apr 14",vs,San Jose
82,"Wed, Apr 16",vs,Vegas
